"Sharp Objects",4,£47.82,In stock
"In a Dark, Dark Wood",1,£19.63,In stock
"The Past Never Ends",4,£56.50,In stock
"A Murder in Time",1,£16.64,In stock
"The Murder of Roger Ackroyd (Hercule Poirot #4)",4,£44.10,In stock
"The Last Mile (Amos Decker #2)",2,£54.21,In stock
"That Darkness (Gardiner and Renner #1)",1,£13.92,In stock
"Tastes Like Fear (DI Marnie Rome #3)",1,£10.69,In stock
"A Time of Torment (Charlie Parker #14)",5,£48.35,In stock
"A Study in Scarlet (Sherlock Holmes #1)",2,£16.73,In stock
"Poisonous (Max Revere Novels #3)",3,£26.80,In stock
"Murder at the 42nd Street Library (Raymond Ambler #1)",4,£54.36,In stock
"Most Wanted",3,£35.28,In stock
"Hide Away (Eve Duncan #20)",1,£11.84,In stock
"Boar Island (Anna Pigeon #19)",3,£59.48,In stock
"The Widow",2,£27.26,In stock
"Playing with Fire",3,£13.71,In stock
"What Happened on Beale Street (Secrets of the South Mysteries #2)",5,£25.37,In stock
"The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1)",5,£52.30,In stock
"Delivering the Truth (Quaker Midwife Mystery #1)",4,£20.89,In stock
"The Mysterious Affair at Styles (Hercule Poirot #1)",4,£24.80,In stock
"In the Woods (Dublin Murder Squad #1)",2,£38.38,In stock
"The Silkworm (Cormoran Strike #2)",5,£23.05,In stock
"The Exiled",3,£43.45,In stock
"The Cuckoo's Calling (Cormoran Strike #1)",1,£19.21,In stock
"Extreme Prey (Lucas Davenport #26)",3,£25.40,In stock
"Career of Evil (Cormoran Strike #3)",2,£24.72,In stock
"The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1)",4,£57.70,In stock
"The Girl You Lost",5,£12.29,In stock
"The Girl In The Ice (DCI Erika Foster #1)",3,£15.85,In stock
"Blood Defense (Samantha Brinkman #1)",3,£20.30,In stock
"1st to Die (Women's Murder Club #1)",1,£53.98,In stock
